AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0691700,Hermantown Police Dept,St. Louis,2010,0,0,0,0,0,0,21,2,0,0,2,1,47,0,33,250,11,1,0,1,0,33,0,11,113,3,0
MN0691800,University of MN Police Dept - Duluth,St. Louis,2010,0,0,0,0,0,0,1,0,0,0,2,0,3,0,2,50,0,0,0,0,0,0,0,0,7,0,0
MN0700000,Scott County Sheriff,Scott,2010,0,0,0,1,0,0,1,0,0,0,5,0,85,0,43,108,9,0,0,2,0,46,0,2,3,1,0
MN0700100,Belle Plaine Police Dept,Scott,2010,0,0,0,0,0,1,7,1,0,0,3,0,38,0,30,126,4,1,0,1,0,38,0,7,41,2,1
MN0700200,Jordan Police Dept,Scott,2010,0,0,0,1,0,0,2,0,0,0,1,0,31,0,8,75,1,1,0,1,0,30,0,0,15,0,0
MN0700300,New Prague Police Dept,Scott,2010,0,0,0,6,0,0,12,3,0,0,3,1,59,0,13,128,1,0,0,2,1,43,0,1,34,1,0
MN0700400,Shakopee Police Dept,Scott,2010,1,6,0,5,0,1,5,2,0,2,22,7,247,0,105,891,32,1,2,12,4,212,0,13,288,2,1
MN0700600,Savage Police Dept,Scott,2010,0,3,2,34,0,19,46,9,0,0,11,4,211,0,114,548,24,7,0,6,1,187,0,21,135,7,2
MN0700900,Prior Lake Police Dept,Scott,2010,0,1,0,1,0,1,9,3,0,0,6,2,99,0,91,325,11,3,0,2,1,55,0,4,49,1,0
MN0710000,Sherburne County Sheriff,Sherburne,2010,0,5,0,11,0,0,1,0,0,1,18,1,162,0,64,319,32,2,0,13,1,126,0,9,64,7,2
MN0710100,Big Lake Police Dept,Sherburne,2010,0,0,0,0,0,0,0,0,0,0,3,0,64,0,22,160,6,1,0,1,0,47,0,3,71,2,0
MN0710200,Elk River Police Dept,Sherburne,2010,0,0,0,6,0,5,17,4,0,0,5,2,138,0,52,536,19,6,0,5,1,120,0,2,213,3,2
MN0710400,Becker Police Dept,Sherburne,2010,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,19,3,0,0,0,0,11,0,1,5,1,0
MN0720000,Sibley County Sheriff,Sibley,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0
MN0730000,Stearns County Sheriff,Stearns,2010,0,0,0,1,0,0,1,0,0,0,18,1,141,0,66,314,17,1,0,9,1,86,0,10,28,2,1
MN0730100,Cold Spring / Richmond Police Dept,Stearns,2010,0,0,0,1,0,0,0,0,0,0,1,0,18,0,5,60,1,1,0,1,0,17,0,1,12,0,0
MN0730200,Melrose Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,1,0,16,0,9,21,0,0,0,1,0,13,0,0,0,0,0
