AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0010000,Aitkin County Sheriff,Aitkin,2014,0,1,0,8,0,11,21,2,0,0,8,0,96,0,103,239,15,1,0,5,0,85,0,18,82,8,0
MN0020000,Anoka County Sheriff,Anoka,2014,0,2,0,7,0,2,12,7,1,1,29,2,279,0,182,931,77,9,1,8,0,255,0,28,288,10,1
MN0020100,Anoka Police Dept,Anoka,2014,0,0,0,1,0,1,5,2,0,0,16,9,167,0,52,486,26,1,0,1,3,137,0,9,53,5,0
MN0020200,Blaine Police Dept,Anoka,2014,0,0,1,9,0,1,12,5,0,0,11,17,252,0,182,1610,48,4,0,9,9,208,0,40,589,12,2
MN0020300,Centennial Lakes Police Dept,Anoka,2014,0,0,0,0,0,0,3,0,0,0,2,0,44,0,25,116,7,0,0,2,0,36,0,3,13,3,0
MN0020400,Columbia Heights Police Dept,Anoka,2014,0,1,0,1,0,0,2,1,0,0,4,15,157,0,103,378,27,1,0,3,7,127,0,6,63,7,0
MN0020500,Coon Rapids Police Dept,Anoka,2014,0,0,1,2,0,0,1,4,0,0,25,25,220,0,182,1311,48,6,0,4,15,181,0,37,643,27,1
MN0020600,Fridley Police Dept,Anoka,2014,0,1,1,8,0,1,4,4,0,0,8,23,173,0,143,1102,44,4,0,2,6,120,0,15,399,7,2
MN0020700,Lino Lakes Police Dept,Anoka,2014,0,0,0,0,0,0,0,0,0,0,0,1,51,0,19,89,9,0,0,0,1,46,0,4,26,3,0
MN0020800,Spring Lake Park Police Dept,Anoka,2014,0,0,0,0,0,0,0,0,0,0,0,2,84,0,42,204,20,0,0,0,0,42,0,8,32,9,0
MN0021300,Ramsey Police Dept,Anoka,2014,1,0,0,6,0,3,7,2,0,0,9,0,75,0,29,306,13,1,0,7,0,65,0,6,89,5,0
MN0021500,St Francis Police Dept,Anoka,2014,0,0,0,0,0,0,0,0,0,0,7,4,47,0,9,117,4,1,0,2,1,44,0,3,39,2,0
MN0030000,Becker County Sheriff,Becker,2014,0,0,0,2,0,0,0,0,0,1,6,1,67,0,41,65,16,1,1,4,0,57,0,6,25,6,1
MN0030100,Detroit Lakes Police Dept,Becker,2014,0,0,0,0,0,0,2,1,0,0,5,0,46,0,18,300,15,0,0,0,0,13,0,1,81,3,0
MN0040000,Beltrami County Sheriff,Beltrami,2014,0,0,0,1,0,0,3,0,0,0,11,3,213,0,115,204,21,2,0,10,3,206,0,41,56,13,2
MN0040100,Bemidji Police Dept,Beltrami,2014,0,0,0,0,0,0,10,0,0,0,18,4,300,0,91,1051,32,3,0,12,4,279,0,25,571,24,3
MN0040200,Blackduck Police Dept,Beltrami,2014,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,0,0,0,0,0,5,0,2,4,0,0
MN0050000,Benton County Sheriff,Benton,2014,0,0,0,0,0,0,0,0,0,1,12,0,54,0,43,125,15,1,1,5,0,38,0,5,7,2,0
MN0050200,Sauk Rapids Police Dept,Benton,2014,0,0,0,0,0,0,0,0,0,0,3,3,71,0,40,197,13,2,0,2,1,68,0,5,47,4,2
MN0060000,Big Stone County Sheriff,Big Stone,2014,0,0,0,5,0,8,7,1,0,0,0,0,17,0,18,19,1,0,0,0,0,16,0,8,5,1,0
MN0060100,Ortonville Police Dept,Big Stone,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,5,0,0
MN0070000,Blue Earth County Sheriff,Blue Earth,2014,0,0,0,0,0,0,0,0,0,0,6,2,61,0,60,73,12,0,0,3,1,34,0,7,3,3,0
MN0070100,Mankato Dept of Public Safety,Blue Earth,2014,0,0,0,0,0,2,6,3,0,1,20,17,502,0,214,1152,63,9,1,10,10,301,0,31,365,14,0
MN0070200,Mapleton Police Dept,Blue Earth,2014,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,16,1,0,0,0,0,4,0,0,11,1,0
MN0070400,Eagle Lake Police Dept,Blue Earth,2014,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,12,0,0,0,0,0,6,0,0,4,0,0
MN0070500,Lake Crystal Police Dept,Blue Earth,2014,0,0,0,0,0,0,0,0,0,0,3,1,14,0,6,19,0,1,0,2,0,9,0,0,5,0,1
MN0071000,Madison Lake Police Dept,Blue Earth,2014,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,0,0,0,0,0,8,0,0,2,0,0
MN0080000,Brown County Sheriff,Brown,2014,0,0,0,0,0,0,0,0,0,1,0,0,10,0,4,7,4,0,0,0,0,7,0,1,0,0,0
MN0080100,New Ulm Police Dept,Brown,2014,0,0,0,6,0,0,8,1,0,0,5,0,69,0,58,194,11,1,0,4,0,65,0,8,70,5,0
MN0080200,Sleepy Eye Police Dept,Brown,2014,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,9,0,1,1,1,0
MN0080300,Springfield Police Dept,Brown,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0090000,Carlton County Sheriff,Carlton,2014,0,0,0,10,0,3,10,5,0,0,5,1,97,0,42,159,13,3,0,1,1,39,0,3,6,2,0
MN0090100,Cloquet Police Dept,Carlton,2014,0,2,0,6,0,3,54,3,0,0,8,2,88,0,45,428,18,1,0,2,0,58,0,11,165,4,1
MN0090200,Moose Lake Police Dept,Carlton,2014,0,1,0,0,0,0,0,0,0,0,3,1,56,0,4,86,0,0,0,1,0,16,0,1,18,0,0
MN0100000,Carver County Sheriff,Carver,2014,0,1,0,7,0,11,35,1,0,1,17,4,154,0,111,626,18,5,1,9,0,147,0,21,284,8,1
MN0100200,Chaska Police Dept,Carver,2014,0,1,0,3,0,3,18,1,0,0,3,2,68,0,28,181,5,1,0,3,1,67,0,9,52,0,1
MN0110000,Cass County Sheriff,Cass,2014,0,0,0,0,0,1,0,0,0,0,56,4,303,0,204,837,86,3,0,6,3,158,0,35,330,40,1
MN0120000,Chippewa County Sheriff,Chippewa,2014,0,0,0,0,0,0,0,0,0,0,1,0,21,0,3,21,1,0,0,0,0,7,0,1,1,0,0
MN0120200,Montevideo Police Dept,Chippewa,2014,0,0,0,1,0,1,7,3,0,0,1,1,39,0,21,125,10,0,0,1,1,39,0,3,56,8,0
MN0130000,Chisago County Sheriff,Chisago,2014,0,0,0,0,0,0,5,0,0,0,0,1,29,0,29,117,11,0,0,0,0,13,0,1,22,0,0
MN0130500,North Branch Police Dept,Chisago,2014,0,0,1,10,0,6,40,3,1,0,1,1,70,0,53,213,6,1,0,1,1,58,0,6,65,1,0
MN0130800,Wyoming Police Dept,Chisago,2014,0,0,0,1,0,0,2,0,0,0,2,0,32,0,6,81,5,0,0,2,0,23,0,1,18,0,0
MN0130900,Lakes Area Police Dept,Chisago,2014,0,0,0,0,0,0,0,0,0,0,7,0,64,0,22,112,8,2,0,3,0,34,0,1,16,2,1
MN0140000,Clay County Sheriff,Clay,2014,0,0,0,0,0,0,0,0,0,0,3,0,32,0,29,57,5,1,0,2,0,23,0,2,12,0,0
MN0140200,Dilworth Police Dept,Clay,2014,0,0,0,0,0,3,5,1,0,0,2,1,35,0,9,133,6,0,0,0,0,26,0,6,91,5,0
MN0140400,Moorhead Police Dept,Clay,2014,0,0,0,0,0,0,1,1,0,1,20,12,384,5,127,643,57,7,0,5,3,241,4,10,173,10,1
MN0150000,Clearwater County Sheriff,Clearwater,2014,0,3,0,18,0,3,25,5,0,0,10,1,56,0,42,79,4,2,0,3,0,49,0,6,14,1,1
MN0160000,Cook County Sheriff,Cook,2014,0,0,0,0,0,0,0,0,0,0,2,0,31,0,16,94,8,0,0,2,0,10,0,2,10,1,0
MN0170000,Cottonwood County Sheriff,Cottonwood,2014,0,0,0,0,0,0,0,0,0,0,1,0,19,0,13,24,4,0,0,0,0,17,0,1,5,4,0
MN0170100,Mountain Lake Police Dept,Cottonwood,2014,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,13,1,0,0,0,0,3,0,0,8,1,0
MN0170200,Windom Police Dept,Cottonwood,2014,0,0,0,0,0,1,1,1,0,0,6,0,48,2,11,41,3,1,0,5,0,47,2,7,11,2,0
MN0180000,Crow Wing County Sheriff,Crow Wing,2014,0,0,0,2,0,3,53,7,0,0,0,0,113,0,111,171,20,0,0,0,0,69,0,17,16,6,0
MN0180100,Brainerd Police Dept,Crow Wing,2014,0,5,1,32,0,23,88,14,0,0,31,6,390,0,114,511,30,3,0,7,2,209,0,14,114,6,1
MN0180200,Crosby Police Dept,Crow Wing,2014,0,1,0,1,0,0,7,1,0,0,1,0,26,0,11,88,0,0,0,1,0,20,0,4,43,0,0
MN0180500,Baxter Police Dept,Crow Wing,2014,0,0,0,6,0,0,15,0,0,0,2,0,31,0,8,379,4,0,0,1,0,26,0,1,248,3,0
MN0190000,Dakota County Sheriff,Dakota,2014,0,0,0,0,0,0,0,0,0,0,1,0,80,0,54,137,8,4,0,0,0,73,0,4,17,3,0
MN0190100,Burnsville Police Dept,Dakota,2014,0,0,0,0,0,0,0,0,0,0,7,27,280,0,139,1501,59,3,0,2,10,147,0,19,359,3,0
MN0190200,Farmington Police Dept,Dakota,2014,0,0,0,0,0,0,0,0,0,0,2,0,48,0,37,148,12,7,0,1,0,34,0,14,32,1,2
MN0190300,Hastings Police Dept,Dakota,2014,0,0,0,1,0,0,5,2,0,1,12,9,136,0,54,534,16,3,1,8,5,122,0,14,224,3,1
MN0190400,Mendota Heights Police Dept,Dakota,2014,0,0,0,1,0,0,1,0,0,0,3,0,25,0,26,189,4,0,0,0,0,17,0,6,35,1,0
MN0190500,Rosemount Police Dept,Dakota,2014,0,0,0,0,0,0,0,0,0,0,3,1,63,0,31,166,2,1,0,0,1,50,0,6,57,1,0
MN0190600,South St Paul Police Dept,Dakota,2014,0,0,0,1,0,1,1,5,0,0,12,14,152,0,103,335,45,27,0,12,14,152,0,103,332,45,27
MN0190700,West St Paul Police Dept,Dakota,2014,0,0,0,4,0,0,4,1,0,2,8,18,136,0,123,853,67,5,2,2,3,107,0,9,409,2,0
MN0190800,Eagan Police Dept,Dakota,2014,0,0,2,2,0,1,5,1,0,0,1,12,244,0,152,995,30,7,0,1,6,209,0,28,271,8,2
MN0190900,Inver Grove Heights Police Dept,Dakota,2014,0,0,0,0,0,1,1,3,0,0,22,12,151,0,108,508,63,6,0,21,12,150,0,105,505,60,6
MN0191000,Apple Valley Police Dept,Dakota,2014,0,0,0,12,0,3,25,3,0,0,9,8,224,0,99,917,26,7,0,7,4,182,0,9,318,6,4
MN0191100,Lakeville Police Dept,Dakota,2014,0,0,0,4,0,0,11,4,0,0,1,9,127,2,87,566,26,2,0,1,0,104,0,12,179,10,0
MN0200000,Dodge County Sheriff,Dodge,2014,0,0,0,3,0,9,6,4,0,0,0,0,103,0,41,135,9,0,0,0,0,100,0,19,67,5,0
MN0200200,Kasson Police Dept,Dodge,2014,0,2,0,0,0,0,0,0,0,0,3,0,17,0,10,51,6,1,0,2,0,16,0,5,30,2,1
MN0210000,Douglas County Sheriff,Douglas,2014,0,0,0,1,0,0,2,0,0,1,3,0,76,0,82,101,14,2,1,2,0,69,0,12,15,6,0
MN0210100,Alexandria Police Dept,Douglas,2014,0,0,0,2,0,1,7,4,0,0,9,6,155,0,46,359,34,0,0,8,6,136,0,7,151,17,0
MN0210200,Osakis Police Dept,Douglas,2014,0,0,0,0,0,0,1,0,0,0,0,0,6,0,3,10,0,0,0,0,0,5,0,0,3,0,0
MN0220000,Faribault County Sheriff,Faribault,2014,0,2,0,0,0,0,0,0,0,0,3,0,25,0,31,39,8,0,0,1,0,21,0,3,3,3,0
MN0220100,Blue Earth Police Dept,Faribault,2014,0,0,0,1,0,0,0,0,0,0,0,0,31,0,7,42,1,0,0,0,0,23,0,3,7,1,0
MN0220200,Elmore Police Dept,Faribault,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,1,0,0
MN0220400,Wells Police Dept,Faribault,2014,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,11,1,0,0,0,0,3,0,0,1,0,0
MN0220500,Winnebago Public Safety,Faribault,2014,0,0,0,0,0,0,0,0,0,0,4,0,11,0,1,12,0,0,0,2,0,8,0,0,4,0,0
MN0230000,Fillmore County Sheriff,Fillmore,2014,0,0,0,1,0,0,0,0,0,0,1,0,42,0,8,44,1,0,0,1,0,30,0,2,2,1,0
MN0240000,Freeborn County Sheriff,Freeborn,2014,0,0,0,0,0,0,0,0,0,0,2,0,32,0,18,70,20,0,0,2,0,31,0,2,9,4,0
MN0240100,Albert Lea Police Dept,Freeborn,2014,0,0,0,0,0,0,0,1,0,0,0,5,117,0,36,342,20,1,0,0,3,115,0,12,103,5,1
MN0250000,Goodhue County Sheriff,Goodhue,2014,0,0,0,0,0,0,0,1,0,0,3,0,61,0,57,84,21,0,0,0,0,22,0,6,9,1,0
MN0250100,Cannon Falls Police Dept,Goodhue,2014,0,0,0,0,0,0,0,0,0,0,1,0,25,0,19,98,5,0,0,1,0,25,0,5,31,3,0
MN0250300,Red Wing Police Dept,Goodhue,2014,0,1,0,3,0,1,6,3,0,0,12,2,321,0,82,401,26,1,0,7,0,218,0,18,143,5,0
MN0250800,Zumbrota Police Dept,Goodhue,2014,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,26,6,0,0,0,0,9,0,0,5,1,0
MN0260000,Grant County Sheriff,Grant,2014,0,0,0,0,0,0,4,1,0,0,0,0,16,0,19,41,3,0,0,0,0,13,0,3,2,0,0
MN0270000,Hennepin County Sheriff,Hennepin,2014,0,0,0,0,0,0,1,0,0,0,0,1,125,0,3,39,3,0,0,0,1,86,0,1,9,3,0
MN0270100,Bloomington Police Dept,Hennepin,2014,0,3,3,45,0,6,38,21,1,0,23,75,442,0,203,2892,107,6,0,12,31,297,0,41,1472,20,1
MN0270200,Brooklyn Center Police Dept,Hennepin,2014,0,0,1,1,0,0,2,12,0,0,10,45,211,0,156,985,74,1,0,3,18,165,0,14,495,14,1
MN0270300,Brooklyn Park Police Dept,Hennepin,2014,0,5,3,117,0,15,58,16,0,1,50,107,1321,0,444,1803,126,8,1,18,37,660,0,52,582,20,3
MN0270400,Crystal Police Dept,Hennepin,2014,0,1,0,4,0,2,16,1,0,0,2,14,223,0,89,467,31,5,0,1,2,185,0,10,118,6,0
MN0270500,Deephaven Police Dept,Hennepin,2014,0,0,0,0,0,3,1,0,0,0,0,0,6,0,2,11,2,0,0,0,0,5,0,0,1,1,0
MN0270600,Edina Police Dept,Hennepin,2014,0,0,0,0,0,0,0,0,0,0,11,10,62,0,104,773,12,2,0,2,4,49,0,15,204,0,0
MN0270700,South Lake Minnetonka Police Dept,Hennepin,2014,0,0,0,2,0,3,4,3,0,0,4,1,46,0,25,88,8,1,0,3,1,34,0,5,23,4,1
MN0270800,Golden Valley Police Dept,Hennepin,2014,0,0,0,3,0,0,9,2,0,0,0,3,77,0,81,395,15,1,0,0,0,33,0,2,79,0,1
MN0270900,Hopkins Police Dept,Hennepin,2014,0,0,0,0,0,0,3,2,0,0,8,12,128,0,92,346,28,2,0,1,2,83,0,7,30,1,0
MN0271100,Minneapolis Police Dept,Hennepin,2014,1,23,10,73,1,19,72,24,0,31,389,1871,6151,9,4112,13480,1531,117,23,124,340,2495,5,455,2045,151,17
MN0271200,Minnetonka Police Dept,Hennepin,2014,0,0,0,0,0,0,8,3,0,0,3,6,139,2,142,627,21,4,0,1,3,107,0,17,184,1,2
MN0271400,New Hope Police Dept,Hennepin,2014,0,0,1,3,0,4,7,1,0,1,2,3,122,0,41,267,17,2,1,0,0,88,0,10,44,4,2
MN0271500,Orono Police Dept,Hennepin,2014,0,0,0,0,0,1,11,3,0,0,2,0,53,0,22,150,12,1,0,2,0,46,0,1,22,4,0
MN0271600,Osseo Police Dept,Hennepin,2014,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,3,0,0,0,0,2,0,0,0,0,0
MN0271700,Plymouth Police Dept,Hennepin,2014,0,1,0,2,0,1,21,5,0,1,13,12,279,0,177,846,36,6,1,4,4,217,0,16,188,10,0
MN0271800,Richfield Police Dept,Hennepin,2014,0,0,0,4,0,3,13,2,0,0,12,34,227,0,174,664,39,4,0,7,6,193,0,20,176,6,0
MN0271900,Robbinsdale Police Dept,Hennepin,2014,0,0,0,0,0,1,4,0,0,0,0,15,143,0,83,274,20,0,0,0,1,100,0,6,39,2,0
MN0272000,St Anthony Police Dept,Hennepin,2014,1,0,0,0,0,0,6,1,0,0,0,7,17,0,49,189,9,0,0,0,2,15,0,9,84,3,0
MN0272100,St Louis Park Police Dept,Hennepin,2014,0,0,0,1,0,0,7,3,0,0,5,23,359,0,156,1092,56,3,0,2,7,326,0,18,234,9,0
MN0272300,Wayzata Police Dept,Hennepin,2014,0,0,0,0,0,0,2,0,0,0,2,0,22,0,23,78,3,0,0,0,0,13,0,6,18,2,0
MN0272400,University of MN Police Dept - Minneapolis,Hennepin,2014,0,0,0,0,0,0,1,0,0,0,2,5,23,0,30,427,16,1,0,0,2,10,0,2,22,1,0
MN0272500,Metropolitan Airport Police Dept,Ramsey,2014,0,0,0,0,0,0,2,0,0,0,0,0,15,0,1,362,34,0,0,0,0,10,0,1,63,8,0
MN0272600,Eden Prairie Police Dept,Hennepin,2014,2,2,0,7,0,0,18,3,0,0,11,4,128,0,98,735,16,3,0,8,3,100,0,21,269,5,0
MN0272700,Maple Grove Police Dept,Hennepin,2014,0,1,0,1,0,0,4,1,0,2,3,9,218,0,119,1037,25,1,1,1,4,183,0,20,455,10,1
MN0272800,Minnetrista Public Safety Dept,Hennepin,2014,0,1,0,0,0,1,4,1,0,0,1,0,22,0,3,62,3,0,0,0,0,20,0,1,13,1,0
MN0272900,Champlin Police Dept,Hennepin,2014,0,0,0,0,0,0,0,0,0,0,5,6,79,0,62,256,6,0,0,2,2,54,0,15,64,0,0
MN0273000,Medina Police Dept,Hennepin,2014,0,1,0,0,0,1,2,0,0,0,0,0,9,0,9,92,2,2,0,0,0,9,0,1,49,0,0
MN0273100,Corcoran Police Dept,Hennepin,2014,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,50,5,0,0,0,0,9,0,8,45,5,0
MN0273200,Dayton Police Dept,Hennepin,2014,0,0,0,1,0,0,1,0,0,0,1,1,15,0,7,31,2,0,0,0,0,10,0,4,14,1,0
MN0273400,Rogers Police Dept,Hennepin,2014,0,0,0,0,0,0,11,2,0,0,1,0,32,0,13,261,11,0,0,1,0,21,0,0,115,2,0
MN0273700,West Hennepin Dept of Public Safety,Hennepin,2014,0,0,0,0,0,0,0,0,0,0,1,0,20,0,3,29,1,0,0,1,0,20,0,0,7,1,0
MN0274000,Three Rivers Park District Police Dept,Hennepin,2014,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,62,1,4,0,0,0,2,0,0,3,1,0
MN0280000,Houston County Sheriff,Houston,2014,0,0,0,0,0,0,4,0,0,0,2,0,29,0,27,27,0,0,0,2,0,27,0,7,11,0,0
MN0280100,Caledonia Police Dept,Houston,2014,0,0,0,0,0,0,0,0,0,0,1,0,21,0,1,1,0,1,0,1,0,17,0,1,1,0,1
MN0280200,Houston Police Dept,Houston,2014,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,5,0,0,0,0,0,1,0,0,1,0,0
MN0280300,La Crescent Police Dept,Houston,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0280400,Spring Grove Police Dept,Houston,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0280500,Hokah Police Dept,Houston,2014,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,2,3,0,0
MN0290000,Hubbard County Sheriff,Hubbard,2014,0,0,0,5,0,9,16,6,0,0,5,0,128,0,86,146,11,4,0,4,0,117,0,12,36,1,4
MN0290100,Park Rapids Police Dept,Hubbard,2014,0,0,0,12,0,2,27,3,1,1,1,0,79,0,34,233,9,2,1,1,0,75,0,9,128,0,2
MN0300000,Isanti County Sheriff,Isanti,2014,0,0,0,0,0,3,0,0,0,0,12,0,108,0,66,161,25,0,0,4,0,95,0,15,26,7,0
MN0300100,Cambridge Police Dept,Isanti,2014,0,0,0,0,0,0,1,0,0,0,0,2,54,0,30,373,8,0,0,0,1,45,0,5,176,3,0
MN0300300,Isanti Police Dept,Isanti,2014,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,64,1,0,0,0,0,22,0,5,21,1,0
MN0310000,Itasca County Sheriff,Itasca,2014,0,2,0,0,0,0,2,0,0,1,40,1,178,0,42,256,13,0,1,21,1,129,0,18,49,12,0
MN0310300,Grand Rapids Police Dept,Itasca,2014,0,8,0,8,0,3,24,3,0,1,10,1,167,0,19,359,9,0,1,1,1,143,0,4,172,4,0
MN0320000,Jackson County Sheriff,Jackson,2014,0,0,0,0,0,0,0,0,0,0,2,0,26,0,21,62,3,0,0,1,0,22,0,0,0,0,0
MN0320200,Lakefield Police Dept,Jackson,2014,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,9,0,0,0,0,0,2,0,0,2,0,0
MN0330000,Kanabec County Sheriff,Kanabec,2014,0,0,0,0,0,0,1,0,0,0,0,0,175,0,61,172,13,0,0,0,0,161,0,54,157,10,0
MN0340000,Kandiyohi County Sheriff,Kandiyohi,2014,0,0,0,0,0,0,0,1,0,0,9,1,74,0,36,152,23,2,0,8,0,65,0,4,14,5,0
MN0340100,Willmar Police Dept,Kandiyohi,2014,0,0,0,0,0,0,4,1,0,0,17,6,159,0,52,475,25,3,0,11,3,138,0,13,184,8,3
MN0350000,Kittson County Sheriff,Kittson,2014,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,12,0,0,0,0,0,3,0,1,6,0,0
MN0350100,Hallock Police Dept,Kittson,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0360000,Koochiching County Sheriff,Koochiching,2014,0,0,0,0,0,1,0,0,0,0,4,1,52,0,32,69,7,0,0,1,1,15,0,1,5,1,0
MN0360100,International Falls Police Dept,Koochiching,2014,0,0,0,0,0,0,0,1,0,0,4,2,90,0,31,125,7,1,0,1,1,26,0,2,10,1,1
MN0370000,Lac Qui Parle County Sheriff,Lac qui Parle,2014,0,0,0,0,0,0,2,0,0,0,0,0,7,0,11,12,6,0,0,0,0,3,0,0,1,0,0
MN0370100,Dawson Police Dept,Lac qui Parle,2014,0,0,0,0,0,0,1,0,0,0,0,1,9,0,1,5,0,0,0,0,0,5,0,0,3,0,0
MN0370200,Madison Police Dept,Lac Qui Parle,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0380000,Lake County Sheriff,Lake,2014,0,0,0,0,0,0,0,0,0,0,4,0,20,0,5,13,1,0,0,2,0,5,0,2,3,1,0
MN0380100,Silver Bay Police Dept,Lake,2014,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,3,0,0,0,1,0,3,0,0,0,0,0
MN0380200,Two Harbors Police Dept,Lake,2014,0,0,0,0,0,0,0,0,0,0,3,0,27,0,5,29,1,0,0,1,0,15,0,1,6,0,0
MN0390000,Lake of the Woods County Sheriff,Lake of the Woods,2014,0,0,0,0,0,0,0,0,0,0,1,0,9,0,2,7,0,0,0,0,0,8,0,2,1,0,0
MN0400000,Le Sueur County Sheriff,Le Sueur,2014,0,0,0,0,0,0,0,0,0,1,4,0,19,0,9,46,3,1,1,4,0,19,0,4,2,2,1
MN0400200,Le Sueur Police Dept,Le Sueur,2014,0,0,0,0,0,0,0,0,0,0,0,0,23,0,12,51,3,0,0,0,0,22,0,2,8,1,0
MN0400300,Montgomery Police Dept,Le Sueur,2014,0,0,0,0,0,0,0,0,0,0,0,1,16,0,9,39,1,0,0,0,0,12,0,1,7,1,0
MN0410000,Lincoln County Sheriff,Lincoln,2014,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0420000,Lyon County Sheriff,Lyon,2014,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,20,3,0,0,0,0,12,0,1,4,1,0
MN0420100,Marshall Police Dept,Lyon,2014,0,1,0,0,0,0,2,0,0,0,11,4,125,0,56,268,5,5,0,6,3,108,0,17,112,2,1
MN0420200,Tracy Police Dept,Lyon,2014,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,1,0,0,0,0,2,0,0,1,0,0
MN0430000,McLeod County Sheriff,McLeod,2014,0,2,0,0,0,0,0,0,0,0,3,0,32,0,53,73,7,0,0,2,0,29,0,4,23,1,0
MN0430100,Glencoe Police Dept,McLeod,2014,0,0,0,32,0,2,3,0,0,0,2,0,22,0,6,63,2,0,0,2,0,20,0,1,11,0,0
MN0430200,Hutchinson Police Dept,McLeod,2014,0,0,0,0,0,0,1,0,0,0,5,0,68,0,24,296,3,2,0,2,0,47,0,4,61,2,0
MN0430300,Brownton Police Dept,McLeod,2014,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,2,0,0,0,0,0
MN0430400,Lester Prairie Police Dept,McLeod,2014,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,27,2,0,0,0,0,5,0,0,11,2,0
MN0430500,Silver Lake Police Dept,McLeod,2014,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,14,4,0,0,1,0,2,0,0,5,0,0
MN0430700,Winsted Police Dept,McLeod,2014,0,0,0,1,0,0,0,0,0,0,0,0,9,0,4,25,1,0,0,0,0,9,0,0,6,0,0
MN0440000,Mahnomen County Sheriff,Mahnomen,2014,0,0,1,4,0,0,3,0,0,0,3,0,123,0,64,183,19,3,0,1,0,26,0,8,22,3,1
MN0450000,Marshall County Sheriff,Marshall,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0460000,Martin County Sheriff,Martin,2014,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,12,2,0,0,0,0,5,0,4,6,1,0
MN0460100,Fairmont Police Dept,Martin,2014,0,0,0,2,0,3,5,1,0,0,8,3,85,0,47,262,14,1,0,7,3,61,0,12,93,10,0
MN0470000,Meeker County Sheriff,Meeker,2014,0,0,0,5,0,0,6,0,0,0,6,1,89,0,44,133,11,0,0,4,1,61,0,4,22,2,0
MN0470100,Litchfield Police Dept,Meeker,2014,0,2,0,3,0,0,5,1,0,0,6,0,62,0,31,100,4,0,0,2,0,45,0,3,20,2,0
MN0480000,Mille Lacs County Sheriff,Mille Lacs,2014,0,0,0,6,0,4,22,5,0,1,8,5,210,0,115,415,40,3,1,4,4,171,0,62,259,19,1
MN0480100,Milaca Police Dept,Mille Lacs,2014,0,1,0,0,0,1,6,1,0,0,1,0,16,0,6,66,5,0,0,1,0,16,0,2,30,3,0
MN0480200,Princeton Police Dept,Mille Lacs,2014,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,136,7,0,0,0,0,17,0,1,41,1,0
MN0490000,Morrison County Sheriff,Morrison,2014,0,3,0,15,0,2,10,4,0,0,0,0,33,0,50,187,12,0,0,0,0,24,0,7,56,2,0
